# 缺失翻译的素材列表
# 格式: slug|lang|count
cam-13-academic-listening-test-1-part-4|bn|6
cam-17-academic-listening-test-1-part-1|bn|9
cam-15-academic-listening-test-1-part-2|bn|8
cam-18-academic-listening-test-4-part-4|bn|3
the-smart-paperboy|bn|1
cam-13-academic-listening-test-1-part-3|bn|4
cam-15-academic-listening-test-1-part-1|bn|3
cam-13-academic-listening-test-1-part-2|bn|2
cam-18-academic-listening-test-4-part-3|bn|1
cam-11-academic-listening-test-1-part-4|bn|13
cam-13-academic-listening-test-1-part-1|bn|3
cam-18-academic-listening-test-4-part-1|bn|2
i-want-to-dye-my-hair-green|bn|3
cam-16-academic-listening-test-4-part-1|bn|3
cam-14-academic-listening-test-1-part-1|bn|3
cam-18-academic-listening-test-3-part-4|bn|3
summer-jobs|bn|1
cam-12-academic-listening-test-1-part-2|bn|1
idioms-in-english-conversation-bite-the-bullet|bn|2
cam-12-academic-listening-test-2-part-1|bn|2
cam-14-academic-listening-test-1-part-3|bn|1
the-little-red-hen-us-english-accent-thefablecottagecom|bn|5
cam-18-academic-listening-test-3-part-2|bn|1
cam-16-academic-listening-test-3-part-3|bn|2
cam-12-academic-listening-test-3-part-4|bn|1
the-story-of-the-three-little-pigs|bn|2
cam-18-academic-listening-test-3-part-1|bn|4
a-surprise|bn|1
b5l5-dialogue|bn|2
cam-16-academic-listening-test-3-part-2|bn|1
whats-the-best-way-to-lift-people-out-of-poverty|bn|1
cam-18-academic-listening-test-2-part-3|bn|1
the-bear-and-the-bee-us-english-accent-thefablecottagecom|bn|1
cam-16-academic-listening-test-3-part-1|bn|2
a-big-turnipjapanese-fairy-tales-in-english|bn|1
the-wind-and-the-sun-uk-english-accent-thefablecottagecom|bn|28
what-do-you-do-every-day-easy-english-conversations-episode-4|bn|80
do-you-really-need-to-take-10000-steps-a-day-shannon-odell|bn|45
what-staying-up-all-night-does-to-your-brain-anna-rothschild|bn|57
easter|bn|22
cam-16-academic-listening-test-2-part-2|bn|43
thanksgiving-2|bn|20
television|bn|30
reading-the-newspaper|bn|25
visiting-the-doctor|bn|25
cam-18-academic-listening-test-1-part-3|bn|47
why-is-it-so-hard-to-break-a-bad-habit|bn|40
when-i-grow-up|bn|30
vocabulary-phrases-and-expressions-around-the-office-business-english|bn|27
cam-16-academic-listening-test-2-part-1|bn|52
cam-18-academic-listening-test-1-part-2|bn|36
cam-12-academic-listening-test-3-part-3|bn|58
how-are-you-feeling-easy-english-conversations-episode-14|bn|75
the-frightened-lion-us-english-accent-thefablecottagecom|bn|50
a-baby|bn|30
first-snowfall|bn|22
life-in-outer-space|bn|20
being-a-good-citizen|bn|23
a-ghost|bn|38
cam-16-academic-listening-test-1-part-4|bn|34
cam-18-academic-listening-test-1-part-1|bn|45
my-flower-garden|bn|20
my-first-day-of-school|bn|29
cam-19-academic-listening-test-4-part-4|bn|38
hobbies-2|bn|23
cam-16-academic-listening-test-1-part-3|bn|60
radio-stations|bn|23
advice-to-a-student-from-a-foreign-country|bn|24
the-bedroom|bn|26
niagara-falls|bn|28
cam-19-academic-listening-test-4-part-3|bn|75
the-bathroom|bn|23
cam-16-academic-listening-test-1-part-2|bn|40
cam-11-academic-listening-test-3-part-1|bn|51
two-great-artists-leonardo-and-michelangelo|bn|31
christmas-2|bn|25
cam-19-academic-listening-test-4-part-2|bn|38
cam-10-academic-listening-test-2-part-1|bn|48
cam-16-academic-listening-test-1-part-1|bn|51
cam-12-academic-listening-test-1-part-3|bn|56
cam-17-academic-listening-test-4-part-4|bn|40
cam-19-academic-listening-test-4-part-1|bn|72
cam-12-academic-listening-test-4-part-3|bn|53
a-funny-thing-happened-on-the-way-to-school|bn|34
cam-17-academic-listening-test-4-part-3|bn|63
cam-19-academic-listening-test-3-part-4|bn|32
what-if-the-earth-stopped-orbiting-the-sun|bn|41
what-is-she-like-easy-english-conversations-episode-16|bn|98
cam-10-academic-listening-test-1-part-4|bn|31
cam-15-academic-listening-test-3-part-1|ko|1
3-tips-to-boost-your-confidence-ted-ed|ko|1
cam-12-academic-listening-test-3-part-2|ko|3
cam-10-academic-listening-test-3-part-2|ko|1
the-crane-of-gratitudejapanese-fairy-tales-in-english|ko|5
the-3-best-predictors-of-how-well-youll-age-juulia-jylhv|ko|4
the-viking|ko|8
cam-12-academic-listening-test-1-part-4|ko|1
april-fools-day-joke-english-conversation|ko|3
cam-17-academic-listening-test-4-part-1|ko|4
cam-15-academic-listening-test-4-part-4|ko|9
empty-your-mind-a-powerful-motivational-story-for-your-life|ko|8
cam-14-academic-listening-test-2-part-2|ko|4
ice-hockey|ko|2
cam-14-academic-listening-test-4-part-3|ko|12
canada-provinces-and-territories|ko|6
my-house|ko|1
cam-14-academic-listening-test-2-part-3|ko|3
cam-11-academic-listening-test-3-part-2|ko|8
cam-17-academic-listening-test-3-part-4|ko|2
cam-13-academic-listening-test-4-part-4|ko|4
corruption|ko|4
cam-19-academic-listening-test-3-part-1|ko|6
cam-14-academic-listening-test-2-part-4|ko|8
cam-17-academic-listening-test-4-part-2|ko|1
cam-17-academic-listening-test-3-part-3|ko|11
cam-13-academic-listening-test-4-part-2|ko|9
cam-15-academic-listening-test-4-part-2|ko|1
elementary-school|ko|2
cam-14-academic-listening-test-3-part-1|ko|5
come-to-the-fair|ko|4
b5l2-dialogue|ko|1
talking-about-daily-routines-in-english-present-simple|ko|2
cam-19-academic-listening-test-2-part-3|ko|5
cam-12-academic-listening-test-4-part-4|ko|9
cam-19-academic-listening-test-3-part-3|ko|1
the-story-of-the-little-red-riding-hood-fairy-tale-story-for-children|ko|3
cam-19-academic-listening-test-2-part-2|ko|1
new-years-day|ko|3
cam-17-academic-listening-test-3-part-1|ko|2
handels-messiah|ko|7
halloween-3|ko|2
my-mother|ko|1
cam-15-academic-listening-test-2-part-3|ko|5
getting-old|ko|1
cam-15-academic-listening-test-3-part-3|ko|3
cam-13-academic-listening-test-4-part-1|ko|6
cam-14-academic-listening-test-3-part-2|ko|1
cam-17-academic-listening-test-2-part-4|ko|9
cam-11-academic-listening-test-2-part-1|ko|2
cam-15-academic-listening-test-4-part-1|ko|3
cam-12-academic-listening-test-4-part-2|ko|1
b3l3-dialogue|ko|1
how-humanity-got-hooked-on-coffee-jonathan-morris|ko|5
cam-12-academic-listening-test-1-part-1|ko|5
the-pet-store|ko|4
my-dad|ko|3
cam-17-academic-listening-test-2-part-3|ko|6
amy|ko|4
cam-15-academic-listening-test-3-part-2|ko|1
a-life-experience|ko|1
the-lie|ko|3
cam-11-academic-listening-test-2-part-2|ko|5
time|ko|3
cam-14-academic-listening-test-4-part-1|ko|1
unlock-the-secrets-to-school-success-develop-good-habits-today|ko|2
cam-17-academic-listening-test-2-part-2|ko|1
cam-19-academic-listening-test-1-part-4|ko|1
how-smart-are-crows-katharina-brecht|ko|8
cam-10-academic-listening-test-4-part-3|ko|8
making-friends|ko|3
cam-19-academic-listening-test-1-part-3|ko|6
cam-14-academic-listening-test-4-part-2|ko|8
the-middle-child|ko|3
places-to-live|ko|2
cam-12-academic-listening-test-2-part-3|ko|10
cam-15-academic-listening-test-2-part-4|ko|3
marks-big-game|ko|1
cam-17-academic-listening-test-2-part-1|ko|9
cam-13-academic-listening-test-3-part-3|ko|1
personal-computers|ko|3
advice|ko|3
a-wedding|ko|4
cam-10-academic-listening-test-4-part-2|ko|8
cam-11-academic-listening-test-2-part-4|ko|4
cam-13-academic-listening-test-3-part-1|ko|1
cam-10-academic-listening-test-2-part-4|ko|11
cam-10-academic-listening-test-3-part-4|ko|2
what-lack-of-sleep-does-to-the-teenage-brain-wendy-troxel|ko|5
cam-14-academic-listening-test-2-part-1|ko|9
the-police|ko|6
cam-12-academic-listening-test-2-part-2|ko|8
cam-10-academic-listening-test-1-part-1|ko|1
cam-11-academic-listening-test-1-part-1|ko|3
cam-13-academic-listening-test-3-part-2|ko|9
cam-13-academic-listening-test-2-part-3|ko|10
transportation-2|ko|2
cam-10-academic-listening-test-1-part-3|ko|4
cam-10-academic-listening-test-2-part-3|ko|3
cam-10-academic-listening-test-3-part-3|ko|4
a-rainy-day|ko|6
the-goose-that-laid-the-golden-egg-short-stories-aesops-fables-in-english|ko|4
cam-10-academic-listening-test-4-part-4|ko|4
cam-13-academic-listening-test-2-part-4|ko|1
cam-19-academic-listening-test-1-part-2|ko|1
cam-15-academic-listening-test-2-part-1|ko|2
cam-17-academic-listening-test-1-part-4|ko|8
cam-15-academic-listening-test-1-part-4|ko|13
cam-17-academic-listening-test-1-part-3|ko|12
b4l6-dialogue|ko|2
cam-15-academic-listening-test-2-part-2|ko|1
methods-of-transportation|ko|3
cam-13-academic-listening-test-2-part-2|ko|8
pretending|ko|1
cam-19-academic-listening-test-1-part-1|ko|6
real-life-conversations-for-english-speaking-practice-talking-about-daily-routines-beginners|ko|2
cam-11-academic-listening-test-1-part-2|ko|5
cam-15-academic-listening-test-1-part-3|ko|6
cam-13-academic-listening-test-2-part-1|ko|5
why-do-people-dislike-other-people|ko|2
cam-17-academic-listening-test-1-part-2|ko|1
whos-in-your-family-easy-english-conversations-episode-15|ko|2
roommate-wanted|ko|5
food-talking-about-food-beginner-english-a-conversation-about-food|ko|2
sooubway-part-3|ko|21
cam-10-academic-listening-test-4-part-1|ko|5
cam-17-academic-listening-test-1-part-1|ko|10
cam-15-academic-listening-test-1-part-2|ko|1
cam-18-academic-listening-test-4-part-4|ko|3
the-smart-paperboy|ko|3
cam-13-academic-listening-test-1-part-3|ko|4
cam-15-academic-listening-test-1-part-1|ko|4
cam-13-academic-listening-test-1-part-2|ko|2
what-time-is-it-easy-english-conversations-episode-11|ko|1
cam-18-academic-listening-test-4-part-3|ko|1
cam-11-academic-listening-test-1-part-4|ko|16
what-i-look-for-in-a-friend|ko|2
cam-16-academic-listening-test-4-part-3|ko|6
cam-18-academic-listening-test-4-part-2|ko|2
cam-13-academic-listening-test-1-part-1|ko|3
cam-11-academic-listening-test-4-part-3|ko|1
cam-16-academic-listening-test-4-part-2|ko|6
christmas|ko|5
cam-18-academic-listening-test-4-part-1|ko|2
i-want-to-dye-my-hair-green|ko|1
cam-11-academic-listening-test-1-part-3|ko|2
opposites|ko|3
cam-16-academic-listening-test-4-part-1|ko|7
cam-14-academic-listening-test-1-part-1|ko|2
cam-11-academic-listening-test-4-part-2|ko|7
favorite-colours|ko|5
cam-18-academic-listening-test-3-part-4|ko|9
my-friends|ko|3
summer-jobs|ko|3
cam-14-academic-listening-test-1-part-2|ko|13
cam-12-academic-listening-test-1-part-2|ko|5
idioms-in-english-conversation-bite-the-bullet|ko|4
if-i-could-fly|ko|2
cam-12-academic-listening-test-2-part-1|ko|8
cam-18-academic-listening-test-3-part-3|ko|3
cam-16-academic-listening-test-3-part-4|ko|3
cam-14-academic-listening-test-1-part-3|ko|9
the-little-red-hen-us-english-accent-thefablecottagecom|ko|2
cam-18-academic-listening-test-3-part-2|ko|6
cam-16-academic-listening-test-3-part-3|ko|4
cam-12-academic-listening-test-3-part-4|ko|7
the-story-of-the-three-little-pigs|ko|3
cam-18-academic-listening-test-3-part-1|ko|5
b5l1-dialogue|ko|1
if-i-live-to-be|ko|1
a-surprise|ko|1
b5l5-dialogue|ko|2
thanksgiving-story-for-kids-the-first-thanksgiving-cartoon-for-children-kids-academy|ko|1
cam-16-academic-listening-test-3-part-2|ko|5
whats-the-best-way-to-lift-people-out-of-poverty|ko|4
cam-18-academic-listening-test-2-part-3|ko|10
the-museum|ko|3
the-bear-and-the-bee-us-english-accent-thefablecottagecom|ko|2
cam-11-academic-listening-test-3-part-4|ko|2
cam-18-academic-listening-test-2-part-2|ko|1
cam-16-academic-listening-test-3-part-1|ko|1
sports-activities-a-conversation-about-interests|ko|1
cam-11-academic-listening-test-3-part-3|ko|1
cam-16-academic-listening-test-2-part-4|ko|2
cam-18-academic-listening-test-2-part-1|ko|1
the-wind-and-the-sun-uk-english-accent-thefablecottagecom|ko|28
what-do-you-do-every-day-easy-english-conversations-episode-4|ko|80
cam-16-academic-listening-test-2-part-3|ko|1
cam-18-academic-listening-test-1-part-4|ko|2
do-you-really-need-to-take-10000-steps-a-day-shannon-odell|ko|45
what-staying-up-all-night-does-to-your-brain-anna-rothschild|ko|57
easter|ko|22
cam-16-academic-listening-test-2-part-2|ko|43
thanksgiving-2|ko|20
television|ko|30
reading-the-newspaper|ko|25
visiting-the-doctor|ko|25
cam-18-academic-listening-test-1-part-3|ko|47
why-is-it-so-hard-to-break-a-bad-habit|ko|40
when-i-grow-up|ko|30
vocabulary-phrases-and-expressions-around-the-office-business-english|ko|27
cam-16-academic-listening-test-2-part-1|ko|52
cam-18-academic-listening-test-1-part-2|ko|36
cam-12-academic-listening-test-3-part-3|ko|58
how-are-you-feeling-easy-english-conversations-episode-14|ko|75
the-frightened-lion-us-english-accent-thefablecottagecom|ko|50
a-baby|ko|30
first-snowfall|ko|22
life-in-outer-space|ko|20
being-a-good-citizen|ko|23
a-ghost|ko|38
cam-16-academic-listening-test-1-part-4|ko|34
cam-18-academic-listening-test-1-part-1|ko|45
my-flower-garden|ko|20
my-first-day-of-school|ko|29
cam-19-academic-listening-test-4-part-4|ko|38
hobbies-2|ko|23
cam-16-academic-listening-test-1-part-3|ko|60
radio-stations|ko|23
advice-to-a-student-from-a-foreign-country|ko|24
the-bedroom|ko|26
niagara-falls|ko|28
cam-19-academic-listening-test-4-part-3|ko|75
the-bathroom|ko|23
cam-16-academic-listening-test-1-part-2|ko|40
cam-11-academic-listening-test-3-part-1|ko|51
two-great-artists-leonardo-and-michelangelo|ko|31
christmas-2|ko|25
cam-19-academic-listening-test-4-part-2|ko|38
cam-10-academic-listening-test-2-part-1|ko|48
cam-16-academic-listening-test-1-part-1|ko|51
cam-12-academic-listening-test-1-part-3|ko|56
cam-17-academic-listening-test-4-part-4|ko|40
cam-19-academic-listening-test-4-part-1|ko|72
cam-12-academic-listening-test-4-part-3|ko|53
a-funny-thing-happened-on-the-way-to-school|ko|34
cam-17-academic-listening-test-4-part-3|ko|63
cam-19-academic-listening-test-3-part-4|ko|32
what-if-the-earth-stopped-orbiting-the-sun|ko|41
what-is-she-like-easy-english-conversations-episode-16|ko|98
cam-10-academic-listening-test-1-part-4|ko|31
3-tips-to-boost-your-confidence-ted-ed|hi|1
cam-12-academic-listening-test-3-part-2|hi|4
cam-10-academic-listening-test-3-part-2|hi|1
the-crane-of-gratitudejapanese-fairy-tales-in-english|hi|1
the-3-best-predictors-of-how-well-youll-age-juulia-jylhv|hi|4
the-viking|hi|4
cam-12-academic-listening-test-1-part-4|hi|1
jessicas-first-day-of-school|hi|1
cam-17-academic-listening-test-4-part-1|hi|4
cam-15-academic-listening-test-4-part-4|hi|5
empty-your-mind-a-powerful-motivational-story-for-your-life|hi|3
cam-14-academic-listening-test-2-part-2|hi|1
ice-hockey|hi|3
cam-14-academic-listening-test-4-part-3|hi|10
canada-provinces-and-territories|hi|4
cam-14-academic-listening-test-2-part-3|hi|1
cam-11-academic-listening-test-3-part-2|hi|2
cam-17-academic-listening-test-3-part-4|hi|1
cam-13-academic-listening-test-4-part-4|hi|2
corruption|hi|3
cam-19-academic-listening-test-3-part-1|hi|2
cam-14-academic-listening-test-2-part-4|hi|3
cam-17-academic-listening-test-4-part-2|hi|1
cam-17-academic-listening-test-3-part-3|hi|6
cam-13-academic-listening-test-4-part-2|hi|3
cam-15-academic-listening-test-4-part-2|hi|1
what-happens-to-your-brain-without-any-social-contact-terry-kupers|hi|1
cam-14-academic-listening-test-3-part-1|hi|2
come-to-the-fair|hi|5
b5l2-dialogue|hi|1
cam-19-academic-listening-test-2-part-3|hi|6
cam-12-academic-listening-test-4-part-4|hi|6
the-story-of-the-little-red-riding-hood-fairy-tale-story-for-children|hi|3
cam-19-academic-listening-test-2-part-2|hi|1
memories|hi|1
new-years-day|hi|1
cam-17-academic-listening-test-3-part-1|hi|1
my-mother|hi|1
cam-15-academic-listening-test-2-part-3|hi|3
cam-15-academic-listening-test-3-part-3|hi|3
cam-13-academic-listening-test-4-part-1|hi|3
cam-14-academic-listening-test-3-part-2|hi|1
cam-17-academic-listening-test-2-part-4|hi|3
cam-11-academic-listening-test-2-part-1|hi|1
cam-15-academic-listening-test-4-part-1|hi|2
cam-12-academic-listening-test-4-part-2|hi|1
b3l3-dialogue|hi|1
how-humanity-got-hooked-on-coffee-jonathan-morris|hi|1
cam-12-academic-listening-test-1-part-1|hi|9
the-pet-store|hi|1
my-dad|hi|4
what-does-he-look-like-easy-english-conversations-episode-17|hi|1
cam-17-academic-listening-test-2-part-3|hi|3
cam-15-academic-listening-test-3-part-2|hi|1
the-lie|hi|1
cam-11-academic-listening-test-2-part-2|hi|4
cam-14-academic-listening-test-4-part-1|hi|1
cam-17-academic-listening-test-2-part-2|hi|2
cam-19-academic-listening-test-1-part-4|hi|1
how-smart-are-crows-katharina-brecht|hi|8
cam-10-academic-listening-test-4-part-3|hi|5
making-friends|hi|3
cam-19-academic-listening-test-1-part-3|hi|3
cam-14-academic-listening-test-4-part-2|hi|3
cam-12-academic-listening-test-2-part-3|hi|4
cam-15-academic-listening-test-2-part-4|hi|2
cam-17-academic-listening-test-2-part-1|hi|4
cam-13-academic-listening-test-3-part-3|hi|1
advice|hi|2
a-wedding|hi|1
cam-10-academic-listening-test-4-part-2|hi|2
cam-11-academic-listening-test-2-part-4|hi|3
cam-13-academic-listening-test-3-part-1|hi|1
cam-10-academic-listening-test-2-part-4|hi|8
cam-10-academic-listening-test-3-part-4|hi|3
what-lack-of-sleep-does-to-the-teenage-brain-wendy-troxel|hi|11
cam-14-academic-listening-test-2-part-1|hi|7
the-police|hi|2
cam-12-academic-listening-test-2-part-2|hi|5
cam-10-academic-listening-test-1-part-1|hi|1
cam-12-academic-listening-test-3-part-1|hi|1
cam-11-academic-listening-test-1-part-1|hi|4
cam-13-academic-listening-test-3-part-2|hi|5
cam-13-academic-listening-test-2-part-3|hi|3
cam-10-academic-listening-test-1-part-2|hi|5
cam-10-academic-listening-test-1-part-3|hi|2
cam-10-academic-listening-test-2-part-3|hi|3
cam-10-academic-listening-test-3-part-3|hi|5
the-library|hi|3
the-goose-that-laid-the-golden-egg-short-stories-aesops-fables-in-english|hi|6
cam-10-academic-listening-test-4-part-4|hi|3
cam-13-academic-listening-test-2-part-4|hi|1
cam-19-academic-listening-test-1-part-2|hi|1
cam-15-academic-listening-test-2-part-1|hi|1
cam-17-academic-listening-test-1-part-4|hi|5
cam-15-academic-listening-test-1-part-4|hi|6
cam-17-academic-listening-test-1-part-3|hi|3
cam-15-academic-listening-test-2-part-2|hi|2
methods-of-transportation|hi|3
cam-13-academic-listening-test-2-part-2|hi|2
pretending|hi|1
cam-19-academic-listening-test-1-part-1|hi|4
real-life-conversations-for-english-speaking-practice-talking-about-daily-routines-beginners|hi|2
cam-11-academic-listening-test-1-part-2|hi|2
cam-15-academic-listening-test-1-part-3|hi|5
cam-13-academic-listening-test-2-part-1|hi|5
cam-17-academic-listening-test-1-part-2|hi|1
roommate-wanted|hi|6
food-talking-about-food-beginner-english-a-conversation-about-food|hi|2
sooubway-part-3|hi|4
cam-10-academic-listening-test-4-part-1|hi|2
cam-13-academic-listening-test-1-part-4|hi|1
cam-17-academic-listening-test-1-part-1|hi|5
cam-18-academic-listening-test-4-part-4|hi|4
cam-13-academic-listening-test-1-part-3|hi|1
cam-15-academic-listening-test-1-part-1|hi|5
cam-13-academic-listening-test-1-part-2|hi|2
what-time-is-it-easy-english-conversations-episode-11|hi|2
cam-11-academic-listening-test-1-part-4|hi|13
what-i-look-for-in-a-friend|hi|1
cam-16-academic-listening-test-4-part-3|hi|5
cam-11-academic-listening-test-4-part-4|hi|1
cam-13-academic-listening-test-1-part-1|hi|2
cam-11-academic-listening-test-4-part-3|hi|2
cam-16-academic-listening-test-4-part-2|hi|1
cam-18-academic-listening-test-4-part-1|hi|5
i-want-to-dye-my-hair-green|hi|1
cam-11-academic-listening-test-1-part-3|hi|1
opposites|hi|1
cam-16-academic-listening-test-4-part-1|hi|1
cam-14-academic-listening-test-1-part-1|hi|2
cam-18-academic-listening-test-3-part-4|hi|2
cam-14-academic-listening-test-1-part-2|hi|3
cam-12-academic-listening-test-1-part-2|hi|1
idioms-in-english-conversation-bite-the-bullet|hi|3
cam-12-academic-listening-test-2-part-1|hi|1
b3l4-dialogue|hi|1
cam-18-academic-listening-test-3-part-3|hi|2
cam-16-academic-listening-test-3-part-4|hi|2
cam-14-academic-listening-test-1-part-3|hi|1
the-little-red-hen-us-english-accent-thefablecottagecom|hi|1
cam-18-academic-listening-test-3-part-2|hi|3
cam-16-academic-listening-test-3-part-3|hi|3
cam-12-academic-listening-test-3-part-4|hi|4
the-story-of-the-three-little-pigs|hi|1
cam-18-academic-listening-test-3-part-1|hi|3
b5l1-dialogue|hi|2
a-surprise|hi|1
b5l5-dialogue|hi|1
cam-16-academic-listening-test-3-part-2|hi|2
whats-the-best-way-to-lift-people-out-of-poverty|hi|2
cam-18-academic-listening-test-2-part-3|hi|3
the-museum|hi|1
cam-11-academic-listening-test-3-part-4|hi|1
cam-16-academic-listening-test-3-part-1|hi|3
sports-activities-a-conversation-about-interests|hi|1
cam-11-academic-listening-test-3-part-3|hi|1
cam-16-academic-listening-test-2-part-4|hi|2
cam-18-academic-listening-test-2-part-1|hi|1
the-wind-and-the-sun-uk-english-accent-thefablecottagecom|hi|28
what-do-you-do-every-day-easy-english-conversations-episode-4|hi|80
cam-18-academic-listening-test-1-part-4|hi|1
do-you-really-need-to-take-10000-steps-a-day-shannon-odell|hi|45
what-staying-up-all-night-does-to-your-brain-anna-rothschild|hi|57
easter|hi|22
cam-16-academic-listening-test-2-part-2|hi|43
thanksgiving-2|hi|20
television|hi|30
reading-the-newspaper|hi|25
visiting-the-doctor|hi|25
cam-18-academic-listening-test-1-part-3|hi|47
why-is-it-so-hard-to-break-a-bad-habit|hi|40
when-i-grow-up|hi|30
vocabulary-phrases-and-expressions-around-the-office-business-english|hi|27
cam-16-academic-listening-test-2-part-1|hi|52
cam-18-academic-listening-test-1-part-2|hi|36
cam-12-academic-listening-test-3-part-3|hi|58
how-are-you-feeling-easy-english-conversations-episode-14|hi|75
the-frightened-lion-us-english-accent-thefablecottagecom|hi|50
a-baby|hi|30
first-snowfall|hi|22
life-in-outer-space|hi|20
being-a-good-citizen|hi|23
a-ghost|hi|38
cam-16-academic-listening-test-1-part-4|hi|34
cam-18-academic-listening-test-1-part-1|hi|45
my-flower-garden|hi|20
my-first-day-of-school|hi|29
cam-19-academic-listening-test-4-part-4|hi|38
hobbies-2|hi|23
cam-16-academic-listening-test-1-part-3|hi|60
radio-stations|hi|23
advice-to-a-student-from-a-foreign-country|hi|24
the-bedroom|hi|26
niagara-falls|hi|28
cam-19-academic-listening-test-4-part-3|hi|75
the-bathroom|hi|23
cam-16-academic-listening-test-1-part-2|hi|40
cam-11-academic-listening-test-3-part-1|hi|51
two-great-artists-leonardo-and-michelangelo|hi|31
christmas-2|hi|25
cam-19-academic-listening-test-4-part-2|hi|38
cam-10-academic-listening-test-2-part-1|hi|48
cam-16-academic-listening-test-1-part-1|hi|51
cam-12-academic-listening-test-1-part-3|hi|56
cam-17-academic-listening-test-4-part-4|hi|40
cam-19-academic-listening-test-4-part-1|hi|72
cam-12-academic-listening-test-4-part-3|hi|53
a-funny-thing-happened-on-the-way-to-school|hi|34
cam-17-academic-listening-test-4-part-3|hi|63
cam-19-academic-listening-test-3-part-4|hi|32
what-if-the-earth-stopped-orbiting-the-sun|hi|41
what-is-she-like-easy-english-conversations-episode-16|hi|98
cam-10-academic-listening-test-1-part-4|hi|31
cam-15-academic-listening-test-3-part-1|th|2
3-tips-to-boost-your-confidence-ted-ed|th|1
cam-12-academic-listening-test-3-part-2|th|1
cam-10-academic-listening-test-3-part-2|th|1
the-crane-of-gratitudejapanese-fairy-tales-in-english|th|1
cam-12-academic-listening-test-4-part-1|th|1
the-3-best-predictors-of-how-well-youll-age-juulia-jylhv|th|3
jessicas-first-day-of-school|th|1
cam-15-academic-listening-test-4-part-4|th|7
empty-your-mind-a-powerful-motivational-story-for-your-life|th|3
cam-14-academic-listening-test-2-part-2|th|1
cam-14-academic-listening-test-4-part-3|th|5
canada-provinces-and-territories|th|4
what-time-is-it-time-for-breakfast|th|1
cam-14-academic-listening-test-2-part-3|th|1
its-raining|th|1
cam-11-academic-listening-test-3-part-2|th|3
corruption|th|1
cam-19-academic-listening-test-3-part-1|th|1
cam-14-academic-listening-test-2-part-4|th|4
cowboys|th|1
cam-17-academic-listening-test-3-part-3|th|6
cam-13-academic-listening-test-4-part-2|th|2
cam-15-academic-listening-test-4-part-2|th|1
cam-19-academic-listening-test-2-part-4|th|1
elementary-school|th|2
come-to-the-fair|th|1
cam-19-academic-listening-test-2-part-3|th|2
cam-12-academic-listening-test-4-part-4|th|6
the-story-of-the-little-red-riding-hood-fairy-tale-story-for-children|th|1
new-years-day|th|1
cam-17-academic-listening-test-3-part-1|th|1
handels-messiah|th|2
cam-15-academic-listening-test-2-part-3|th|5
cam-13-academic-listening-test-4-part-1|th|3
cam-17-academic-listening-test-2-part-4|th|3
cam-11-academic-listening-test-2-part-1|th|2
cam-12-academic-listening-test-4-part-2|th|1
how-humanity-got-hooked-on-coffee-jonathan-morris|th|4
homework|th|1
cam-12-academic-listening-test-1-part-1|th|2
the-pet-store|th|1
cam-14-academic-listening-test-3-part-4|th|1
my-dad|th|3
cam-15-academic-listening-test-3-part-2|th|1
the-lie|th|2
cam-14-academic-listening-test-4-part-1|th|1
cam-17-academic-listening-test-2-part-2|th|1
cam-19-academic-listening-test-1-part-4|th|1
how-smart-are-crows-katharina-brecht|th|4
cam-10-academic-listening-test-4-part-3|th|2
making-friends|th|1
cam-19-academic-listening-test-1-part-3|th|1
the-middle-child|th|1
cam-12-academic-listening-test-2-part-3|th|5
cam-17-academic-listening-test-2-part-1|th|5
cam-10-academic-listening-test-4-part-2|th|3
cam-11-academic-listening-test-2-part-4|th|1
cam-13-academic-listening-test-3-part-1|th|1
cam-10-academic-listening-test-2-part-4|th|5
cam-10-academic-listening-test-2-part-2|th|2
cam-10-academic-listening-test-3-part-4|th|1
what-lack-of-sleep-does-to-the-teenage-brain-wendy-troxel|th|5
the-police|th|1
cam-12-academic-listening-test-2-part-2|th|3
cam-10-academic-listening-test-1-part-1|th|1
cam-12-academic-listening-test-3-part-1|th|1
cam-11-academic-listening-test-1-part-1|th|2
cam-13-academic-listening-test-3-part-2|th|5
cam-13-academic-listening-test-2-part-3|th|4
cam-10-academic-listening-test-1-part-3|th|3
cam-10-academic-listening-test-3-part-3|th|2
a-rainy-day|th|1
going-camping|th|1
the-library|th|1
cam-10-academic-listening-test-4-part-4|th|1
cam-13-academic-listening-test-2-part-4|th|1
cam-19-academic-listening-test-1-part-2|th|1
cam-15-academic-listening-test-2-part-1|th|2
cam-17-academic-listening-test-1-part-4|th|2
cam-15-academic-listening-test-3-part-4|th|2
cam-15-academic-listening-test-1-part-4|th|6
cam-13-academic-listening-test-2-part-2|th|2
cam-19-academic-listening-test-1-part-1|th|2
real-life-conversations-for-english-speaking-practice-talking-about-daily-routines-beginners|th|1
cam-11-academic-listening-test-1-part-2|th|1
cam-15-academic-listening-test-1-part-3|th|2
cam-13-academic-listening-test-2-part-1|th|1
why-do-people-dislike-other-people|th|2
cam-17-academic-listening-test-1-part-2|th|1
roommate-wanted|th|1
sooubway-part-3|th|5
cam-10-academic-listening-test-4-part-1|th|1
cam-13-academic-listening-test-1-part-4|th|1
cam-17-academic-listening-test-1-part-1|th|3
cam-18-academic-listening-test-4-part-4|th|4
the-smart-paperboy|th|1
cam-15-academic-listening-test-1-part-1|th|4
cam-13-academic-listening-test-1-part-2|th|6
