# 缺失翻译的素材列表
# 格式: slug|lang|count
why-do-people-dislike-other-people|mn|9
cam-17-academic-listening-test-1-part-2|mn|7
whos-in-your-family-easy-english-conversations-episode-15|mn|6
roommate-wanted|mn|6
food-talking-about-food-beginner-english-a-conversation-about-food|mn|2
sooubway-part-3|mn|37
cam-10-academic-listening-test-4-part-1|mn|7
cam-13-academic-listening-test-1-part-4|mn|8
cam-17-academic-listening-test-1-part-1|mn|12
cam-15-academic-listening-test-1-part-2|mn|5
cam-18-academic-listening-test-4-part-4|mn|13
the-smart-paperboy|mn|7
cam-13-academic-listening-test-1-part-3|mn|14
cam-15-academic-listening-test-1-part-1|mn|11
cam-13-academic-listening-test-1-part-2|mn|7
what-time-is-it-easy-english-conversations-episode-11|mn|5
cam-16-academic-listening-test-4-part-4|mn|3
cam-18-academic-listening-test-4-part-3|mn|6
cam-11-academic-listening-test-1-part-4|mn|20
what-i-look-for-in-a-friend|mn|5
cam-16-academic-listening-test-4-part-3|mn|16
cam-18-academic-listening-test-4-part-2|mn|6
cam-11-academic-listening-test-4-part-4|mn|6
cam-13-academic-listening-test-1-part-1|mn|9
cam-16-academic-listening-test-4-part-2|mn|12
christmas|mn|5
cam-18-academic-listening-test-4-part-1|mn|9
cam-14-academic-listening-test-4-part-4|mn|2
i-want-to-dye-my-hair-green|mn|4
cam-11-academic-listening-test-1-part-3|mn|4
opposites|mn|5
cam-16-academic-listening-test-4-part-1|mn|17
cam-14-academic-listening-test-1-part-1|mn|11
cam-11-academic-listening-test-4-part-2|mn|7
favorite-colours|mn|2
cam-18-academic-listening-test-3-part-4|mn|11
my-friends|mn|3
summer-jobs|mn|3
cam-14-academic-listening-test-1-part-2|mn|10
cam-12-academic-listening-test-2-part-4|mn|2
cam-12-academic-listening-test-1-part-2|mn|13
idioms-in-english-conversation-bite-the-bullet|mn|8
if-i-could-fly|mn|1
cam-12-academic-listening-test-2-part-1|mn|8
b3l4-dialogue|mn|2
cam-18-academic-listening-test-3-part-3|mn|10
cam-16-academic-listening-test-3-part-4|mn|6
cam-14-academic-listening-test-1-part-3|mn|18
the-little-red-hen-us-english-accent-thefablecottagecom|mn|15
the-birthday-gift|mn|5
what-did-you-do-at-the-weekend-easy-english-conversations-episode-13|mn|1
